date,store_nbr,AUTOMOTIVE,BABY CARE,BEAUTY,BEVERAGES,BOOKS,BREAD/BAKERY,CELEBRATION,CLEANING,DAIRY,DELI,EGGS,FROZEN FOODS,GROCERY I,GROCERY II,HARDWARE,HOME AND KITCHEN I,HOME AND KITCHEN II,HOME APPLIANCES,HOME CARE,LADIESWEAR,LAWN AND GARDEN,LINGERIE,"LIQUOR,WINE,BEER",MAGAZINES,MEATS,PERSONAL CARE,PET SUPPLIES,PLAYERS AND ELECTRONICS,POULTRY,PREPARED FOODS,PRODUCE,SCHOOL AND OFFICE SUPPLIES,SEAFOOD,ttl_sales,onpromotion_AUTOMOTIVE,onpromotion_BABY CARE,onpromotion_BEAUTY,onpromotion_BEVERAGES,onpromotion_BOOKS,onpromotion_BREAD/BAKERY,onpromotion_CELEBRATION,onpromotion_CLEANING,onpromotion_DAIRY,onpromotion_DELI,onpromotion_EGGS,onpromotion_FROZEN FOODS,onpromotion_GROCERY I,onpromotion_GROCERY II,onpromotion_HARDWARE,onpromotion_HOME AND KITCHEN I,onpromotion_HOME AND KITCHEN II,onpromotion_HOME APPLIANCES,onpromotion_HOME CARE,onpromotion_LADIESWEAR,onpromotion_LAWN AND GARDEN,onpromotion_LINGERIE,"onpromotion_LIQUOR,WINE,BEER",onpromotion_MAGAZINES,onpromotion_MEATS,onpromotion_PERSONAL CARE,onpromotion_PET SUPPLIES,onpromotion_PLAYERS AND ELECTRONICS,onpromotion_POULTRY,onpromotion_PREPARED FOODS,onpromotion_PRODUCE,onpromotion_SCHOOL AND OFFICE SUPPLIES,onpromotion_SEAFOOD,id,family,sales,onpromotion,store_city,store_state,store_type,store_cluster,locale,locale_name,description,events,IsWorkDay,events_Black_Friday,events_Cyber_Monday,events_Dia_de_la_Madre,events_Futbol,events_Terremoto_Manabi,holiday_national_binary,holiday_local_binary,holiday_regional_binary,national_independence,local_cantonizacio,local_fundacion,local_independencia,holiday_national_Batalla_de_Pichincha,holiday_national_Carnaval,holiday_national_Dia_de_Difuntos,holiday_national_Dia_de_la_Madre,holiday_national_Dia_del_Trabajo,holiday_national_Independencia_de_Cuenca,holiday_national_Independencia_de_Guayaquil,holiday_national_Navidad,holiday_national_Primer_Grito_de_Independencia,holiday_national_Primer_dia_del_ano,holiday_national_Viernes_Santo,holiday_regional_Provincializacion_Santa_Elena,holiday_regional_Provincializacion_de_Cotopaxi,holiday_regional_Provincializacion_de_Imbabura,holiday_regional_Provincializacion_de_Santo_Domingo,holiday_local_Cantonizacion_de_Cayambe,holiday_local_Cantonizacion_de_El_Carmen,holiday_local_Cantonizacion_de_Guaranda,holiday_local_Cantonizacion_de_Latacunga,holiday_local_Cantonizacion_de_Libertad,holiday_local_Cantonizacion_de_Quevedo,holiday_local_Cantonizacion_de_Riobamba,holiday_local_Cantonizacion_de_Salinas,holiday_local_Cantonizacion_del_Puyo,holiday_local_Fundacion_de_Ambato,holiday_local_Fundacion_de_Cuenca,holiday_local_Fundacion_de_Esmeraldas,holiday_local_Fundacion_de_Guayaquil,holiday_local_Fundacion_de_Ibarra,holiday_local_Fundacion_de_Loja,holiday_local_Fundacion_de_Machala,holiday_local_Fundacion_de_Manta,holiday_local_Fundacion_de_Quito,holiday_local_Fundacion_de_Riobamba,holiday_local_Fundacion_de_Santo_Domingo,holiday_local_Independencia_de_Ambato,holiday_local_Independencia_de_Guaranda,holiday_local_Independencia_de_Latacunga,dcoilwtico,year,month,week,quarter,day_of_week
2013-01-11,2,5.0,0.0,2.0,1259.0,0.0,282.92902,0.0,747.0,424.0,200.626,130.0,86.51,2117.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,72.0,0.0,583.78796,125.0,0.0,0.0,267.267,81.544,0.0,0.0,37.121002,6459.784981999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18183,AUTOMOTIVE,5.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.6,2013,1,2,1,Friday
2013-01-12,2,7.0,0.0,4.0,1565.0,0.0,365.839,0.0,993.0,560.0,180.568,196.0,126.973,2866.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,146.0,0.0,514.734,194.0,0.0,0.0,293.71,118.972,0.0,0.0,25.204,8215.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19965,AUTOMOTIVE,7.0,0,Quito,Pichincha,D,13,,,,,Work Day,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2013,1,2,1,Saturday
2013-01-13,2,4.0,0.0,2.0,1779.0,0.0,568.007,0.0,1231.0,550.0,286.457,264.0,142.0,3777.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,32.0,0.0,0.0,600.295,254.0,0.0,0.0,374.659,103.333,0.0,0.0,35.437,10029.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21747,AUTOMOTIVE,4.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2013,1,2,1,Sunday
2013-01-14,2,1.0,0.0,3.0,1131.0,0.0,335.78,0.0,793.0,352.0,158.892,140.0,82.8,2053.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,19.0,0.0,405.733,143.0,0.0,0.0,189.927,68.935,0.0,0.0,22.95,5963.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23529,AUTOMOTIVE,1.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.27,2013,1,3,1,Monday
2013-01-15,2,0.0,0.0,4.0,852.0,0.0,244.409,0.0,854.0,334.0,152.29199,117.0,52.0,2153.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,33.0,50.0,0.0,499.735,130.0,0.0,0.0,253.46901,64.862,0.0,0.0,29.748,5841.514999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25311,AUTOMOTIVE,0.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.26,2013,1,3,1,Tuesday
2013-01-16,2,3.0,0.0,5.0,976.0,0.0,334.927,0.0,882.0,464.0,161.695,193.0,70.0,2864.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,65.0,0.0,557.73,201.0,0.0,0.0,212.293,87.886,0.0,0.0,37.967,7145.4980000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27093,AUTOMOTIVE,3.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.28,2013,1,3,1,Wednesday
2013-01-17,2,4.0,0.0,2.0,978.0,0.0,299.468,0.0,759.0,329.0,176.017,136.0,89.238,2060.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,51.0,0.0,395.59702,123.0,0.0,0.0,144.385,90.419,0.0,0.0,17.077,5706.20102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28875,AUTOMOTIVE,4.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.49,2013,1,3,1,Thursday
2013-01-18,2,2.0,0.0,3.0,1258.0,0.0,324.033,0.0,920.0,454.0,239.112,160.0,120.06,2584.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,97.0,0.0,668.481,172.0,0.0,0.0,303.924,58.748,0.0,0.0,23.135,7439.4929999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30657,AUTOMOTIVE,2.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.61,2013,1,3,1,Friday
2013-01-19,2,14.0,0.0,6.0,1606.0,0.0,427.591,0.0,1057.0,536.0,228.616,208.0,116.945,3242.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,158.0,0.0,522.878,256.0,0.0,0.0,328.362,93.796,0.0,0.0,42.183,8905.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32439,AUTOMOTIVE,14.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2013,1,3,1,Saturday
2013-01-20,2,5.0,0.0,10.0,1923.0,0.0,477.29102,0.0,1089.0,578.0,251.611,273.0,126.359,3734.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,0.0,0.0,518.518,234.0,0.0,0.0,420.859,148.632,0.0,0.0,52.321,9920.591020000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34221,AUTOMOTIVE,5.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2013,1,3,1,Sunday
2013-01-21,2,4.0,0.0,4.0,1299.0,0.0,345.225,0.0,836.0,414.0,173.473,161.0,73.0,2609.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,28.0,0.0,507.268,183.0,0.0,0.0,280.886,80.714,0.0,0.0,27.654,7083.220000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36003,AUTOMOTIVE,4.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2013,1,4,1,Monday
2013-01-22,2,2.0,0.0,3.0,1184.0,0.0,289.619,0.0,786.0,328.0,129.91,136.0,70.05,2235.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,26.0,49.0,0.0,469.379,139.0,0.0,0.0,185.217,72.525,0.0,0.0,27.380001,6157.080000999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37785,AUTOMOTIVE,2.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.09,2013,1,4,1,Tuesday
2013-01-23,2,2.0,0.0,1.0,1182.0,0.0,348.303,0.0,719.0,429.0,140.404,135.0,105.434,2479.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,41.0,0.0,498.926,155.0,0.0,0.0,248.73,82.707,0.0,0.0,27.697,6638.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39567,AUTOMOTIVE,2.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.06,2013,1,4,1,Wednesday
2013-01-24,2,3.0,0.0,1.0,832.0,0.0,254.622,0.0,682.0,331.0,114.745,116.0,58.0,1875.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,76.0,0.0,308.776,118.0,0.0,0.0,197.938,61.445,0.0,0.0,9.893,5084.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41349,AUTOMOTIVE,3.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.35,2013,1,4,1,Thursday
2013-01-25,2,0.0,0.0,2.0,1151.0,0.0,297.868,0.0,741.0,470.0,192.792,180.0,72.0,2337.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,87.0,0.0,644.166,114.0,0.0,0.0,342.73,72.675,0.0,0.0,33.371,6775.602000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43131,AUTOMOTIVE,0.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.15,2013,1,4,1,Friday
2013-01-26,2,3.0,0.0,2.0,1482.0,0.0,350.137,0.0,1012.0,574.0,193.886,221.0,101.0,3014.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,124.0,0.0,493.00598,213.0,0.0,0.0,329.26498,138.37,0.0,0.0,33.552002,8350.215962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44913,AUTOMOTIVE,3.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2013,1,4,1,Saturday
2013-01-27,2,3.0,0.0,6.0,1450.0,0.0,478.896,0.0,1025.0,558.0,193.683,258.0,113.016,3560.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,0.0,0.0,511.482,256.0,0.0,0.0,411.743,168.495,0.0,0.0,38.474,9095.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46695,AUTOMOTIVE,3.0,0,Quito,Pichincha,D,13,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2013,1,4,1,Sunday
